LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Foundation,BsmtFinType1,TotalBsmtSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageCars,YrSold,SalePrice
70,7945,Reg,Inside,NAmes,1Fam,1Story,5,6,1959,1959,BrkFace,CBlock,ALQ,1150,1150,1,0,3,TA,6,0,Attchd,1,2006,141000
61,7658,Reg,Inside,NridgHt,TwnhsE,1Story,9,5,2005,2005,MetalSd,PConc,GLQ,1752,1752,2,0,2,Ex,6,1,Attchd,2,2010,319900
48,12822,IR1,CulDSac,Mitchel,1Fam,1.5Fin,7,5,2003,2003,VinylSd,PConc,GLQ,1434,2149,1,1,1,Gd,6,1,Attchd,2,2009,239686
84,11096,Reg,Inside,Somerst,1Fam,1Story,8,5,2006,2006,VinylSd,PConc,GLQ,1656,1656,2,0,3,Gd,7,0,Attchd,3,2007,249700
33,4456,Reg,Inside,OldTown,2fmCon,2Story,4,5,1920,2008,MetalSd,BrkTil,Unf,736,1452,2,0,2,TA,8,0,NA,0,2009,113000
66,7742,Reg,Inside,Sawyer,1Fam,1Story,5,7,1966,1966,HdBoard,CBlock,BLQ,955,955,1,0,3,TA,6,0,Attchd,1,2007,127000
,13869,IR2,Corner,Gilbert,1Fam,2Story,6,6,1997,1997,VinylSd,PConc,GLQ,794,1470,2,0,3,TA,6,0,Attchd,2,2007,177000
52,6240,Reg,Inside,BrkSide,1Fam,1.5Fin,6,6,1934,1950,Wd Sdng,PConc,Unf,816,1176,1,0,3,TA,6,1,Detchd,2,2006,114500
110,8472,IR2,Corner,IDOTRR,Duplex,1Story,5,5,1963,1963,Wd Sdng,CBlock,LwQ,816,816,1,0,2,TA,5,0,CarPort,2,2010,110000
68,50271,IR1,Inside,Veenker,1Fam,1Story,9,5,1981,1987,WdShing,CBlock,GLQ,1842,1842,0,1,0,Gd,5,1,Attchd,3,2006,385000
60,7134,Reg,Inside,NAmes,1Fam,SLvl,5,5,1955,1955,MetalSd,CBlock,ALQ,384,1360,1,0,3,TA,6,1,Detchd,2,2007,130000
100,10175,IR1,Inside,NAmes,1Fam,1Story,6,5,1964,1964,HdBoard,CBlock,BLQ,1425,1425,2,0,3,TA,7,1,Attchd,2,2008,180500
24,2645,Reg,Inside,Somerst,Twnhs,2Story,8,5,1999,2000,MetalSd,PConc,GLQ,970,1739,2,1,3,Gd,7,0,Attchd,2,2009,172500
89,11645,IR1,Corner,CollgCr,1Fam,2Story,7,5,2004,2004,VinylSd,PConc,Unf,860,1720,2,1,3,Gd,7,0,Attchd,2,2006,196500
66,13682,IR2,CulDSac,StoneBr,1Fam,2Story,10,5,2006,2006,VinylSd,PConc,Unf,1410,2945,3,1,3,Gd,10,1,BuiltIn,3,2006,438780
60,7200,Reg,Inside,CollgCr,1Fam,1Story,5,7,1972,1972,HdBoard,CBlock,ALQ,780,780,1,0,2,TA,4,0,Detchd,1,2008,124900
63,13072,Reg,Inside,SawyerW,1Fam,1Story,6,5,2004,2004,VinylSd,PConc,ALQ,1158,1158,1,1,3,Gd,5,0,Detchd,2,2006,158000
60,7200,Reg,Inside,IDOTRR,1Fam,2.5Unf,5,7,1920,1996,MetalSd,BrkTil,Unf,530,1111,1,0,3,Fa,6,0,Detchd,1,2007,101000
44,6442,IR1,Inside,NridgHt,TwnhsE,1Story,8,5,2006,2006,VinylSd,PConc,GLQ,1370,1370,2,0,2,Gd,6,1,Attchd,2,2007,202500
50,10300,IR1,Inside,OldTown,1Fam,2Story,7,6,1921,1950,Stucco,BrkTil,Unf,576,1710,2,0,3,TA,9,0,Detchd,2,2010,140000
,9375,Reg,Inside,CollgCr,1Fam,2Story,7,5,1997,1998,VinylSd,PConc,GLQ,1057,2034,2,1,3,Gd,8,0,Attchd,2,2009,219500
76,9591,Reg,Inside,NridgHt,1Fam,2Story,8,5,2004,2005,VinylSd,PConc,Unf,1143,2473,2,1,4,Gd,9,1,BuiltIn,3,2007,317000
,19900,Reg,Inside,NAmes,1Fam,1Story,7,5,1970,1989,Plywood,CBlock,GLQ,1947,2207,2,0,3,TA,7,1,Attchd,2,2010,180000
72,10665,IR1,Inside,CollgCr,1Fam,1Story,7,5,2003,2003,VinylSd,PConc,GLQ,1453,1479,2,0,3,Gd,7,0,Attchd,2,2007,226000
47,4608,Reg,Corner,OldTown,1Fam,1Story,4,6,1945,1950,MetalSd,CBlock,Unf,747,747,1,0,2,TA,4,0,Attchd,1,2010,80000
81,15593,Reg,Corner,ClearCr,1Fam,1.5Fin,7,4,1953,1953,BrkFace,CBlock,BLQ,1304,2287,2,0,3,TA,7,1,Attchd,2,2006,225000
95,13651,IR1,Inside,NAmes,1Fam,1Story,7,6,1973,1973,Plywood,CBlock,ALQ,2223,2223,2,0,3,TA,8,2,Attchd,2,2007,244000
69,7599,Reg,Corner,Mitchel,1Fam,1Story,4,6,1982,2006,HdBoard,CBlock,ALQ,845,845,1,0,2,TA,4,0,Detchd,2,2007,129500
74,10141,IR1,Corner,Gilbert,1Fam,2Story,7,5,1998,1998,VinylSd,PConc,Unf,832,1718,2,1,3,TA,7,1,Attchd,2,2009,185000
85,10200,Reg,Inside,NAmes,1Fam,1Story,5,7,1954,2003,Wd Sdng,CBlock,ALQ,1086,1086,1,0,3,TA,6,0,Attchd,2,2010,144900
60,5790,Reg,Corner,OldTown,1Fam,2Story,3,6,1915,1950,VinylSd,CBlock,Unf,840,1605,2,0,3,TA,8,0,Detchd,1,2010,107400
21,1596,Reg,Inside,MeadowV,Twnhs,SLvl,4,5,1973,1973,CemntBd,CBlock,GLQ,462,988,1,0,2,TA,5,0,BuiltIn,1,2009,91000
,8475,IR1,Inside,NAmes,1Fam,1Story,4,7,1956,1956,VinylSd,CBlock,ALQ,952,952,1,0,2,TA,4,0,Detchd,1,2008,135750
50,8635,Reg,Inside,BrkSide,1Fam,1.5Fin,5,5,1948,2001,Wd Sdng,CBlock,BLQ,672,1285,1,0,2,TA,6,0,Detchd,1,2008,127000
72,10778,Reg,Inside,Sawyer,Duplex,1Story,4,5,1968,1968,HdBoard,CBlock,Unf,1768,1768,2,0,4,TA,8,0,NA,0,2010,136500
60,10440,Reg,Corner,OldTown,1Fam,2Story,5,6,1910,1981,Wd Sdng,PConc,Unf,440,1230,1,1,2,TA,5,0,Detchd,2,2009,110000
100,13000,Reg,Corner,NAmes,1Fam,2Story,6,6,1968,1968,VinylSd,CBlock,Rec,896,2142,2,1,4,Gd,8,1,Attchd,1,2009,193500
32,4500,Reg,FR2,Mitchel,TwnhsE,1Story,6,5,1998,1998,VinylSd,PConc,GLQ,1237,1337,2,0,2,TA,5,0,Attchd,2,2006,153500
78,10206,Reg,Inside,Somerst,1Fam,1Story,8,5,2007,2007,VinylSd,PConc,GLQ,1563,1563,2,0,3,Gd,6,1,Attchd,3,2008,245000
80,8892,IR1,Inside,NAmes,1Fam,1Story,5,5,1960,1960,MetalSd,CBlock,Unf,1065,1065,1,1,3,TA,6,0,Detchd,2,2007,126500
,8530,IR1,Inside,Gilbert,1Fam,SLvl,7,5,1995,1996,HdBoard,PConc,Unf,384,1474,2,1,3,TA,7,1,BuiltIn,2,2009,168500
121,16059,Reg,Corner,NoRidge,1Fam,2Story,8,5,1991,1992,HdBoard,CBlock,Unf,1288,2417,2,1,4,Gd,9,1,Attchd,2,2006,260000
122,11911,IR2,Inside,Gilbert,1Fam,2Story,6,5,2005,2005,VinylSd,PConc,Unf,684,1560,2,1,3,Gd,6,1,BuiltIn,2,2009,174000
40,3951,Reg,Corner,Somerst,TwnhsE,2Story,6,5,2009,2009,VinylSd,PConc,Unf,612,1224,2,1,2,Gd,4,0,Detchd,2,2009,164500
105,8470,IR1,Corner,IDOTRR,1Fam,1.5Fin,3,2,1915,1982,Plywood,CBlock,Unf,1013,1526,1,0,2,Fa,6,0,NA,0,2009,85000
60,8070,Reg,Inside,CollgCr,1Fam,1Story,4,5,1994,1995,VinylSd,PConc,GLQ,990,990,1,0,3,TA,5,0,NA,0,2007,123600
60,7200,Reg,Inside,NAmes,1Fam,1Story,4,5,1950,1950,BrkFace,Slab,NA,0,1040,1,0,2,TA,4,0,Detchd,2,2006,109900
85,8500,Reg,Inside,NAmes,1Fam,1Story,5,3,1961,1961,HdBoard,CBlock,Rec,1235,1235,1,0,2,TA,6,0,Attchd,2,2006,98600
80,13360,IR1,Inside,Crawfor,1Fam,1Story,5,7,1921,2006,Wd Sdng,BrkTil,ALQ,876,964,1,0,2,TA,5,0,Detchd,2,2009,163500
60,7200,Reg,Corner,OldTown,2fmCon,2.5Unf,6,6,1910,1998,MetalSd,BrkTil,Rec,1214,2291,2,0,4,TA,9,1,Detchd,2,2007,133900
69,9337,IR1,Inside,CollgCr,1Fam,2Story,6,5,1997,1997,VinylSd,PConc,GLQ,824,1786,2,1,3,Gd,7,0,Attchd,2,2007,204750
,9765,IR2,Corner,Gilbert,1Fam,2Story,6,8,1993,1993,VinylSd,PConc,ALQ,680,1470,2,1,3,TA,6,1,BuiltIn,2,2009,185000
78,10264,IR1,Inside,CollgCr,1Fam,1Story,7,5,1999,1999,VinylSd,PConc,ALQ,1588,1588,2,0,3,Gd,6,0,Attchd,2,2006,214000
73,10921,Reg,Inside,Edwards,1Fam,1Story,4,5,1965,1965,HdBoard,CBlock,Rec,960,960,1,0,3,TA,6,0,Attchd,1,2007,94750
85,10625,Reg,Corner,Edwards,1Fam,1Story,5,5,1920,1950,Wd Sdng,BrkTil,ALQ,458,835,1,0,2,TA,5,0,Basment,1,2010,83000
77,9320,IR1,Inside,NAmes,1Fam,1Story,4,5,1959,1959,Plywood,CBlock,ALQ,950,1225,1,1,3,TA,6,0,NA,0,2010,128950
,10603,IR1,Inside,NWAmes,1Fam,1Story,6,7,1977,2001,Plywood,PConc,ALQ,1610,1610,2,0,3,Gd,6,2,Attchd,2,2010,205000
77,9206,Reg,Inside,SawyerW,1Fam,2Story,6,5,1985,1985,HdBoard,CBlock,Unf,741,1732,2,1,3,Gd,7,1,Attchd,2,2010,178000
64,7018,Reg,Inside,SawyerW,Duplex,1Story,5,5,1979,1979,HdBoard,Slab,NA,0,1535,2,0,4,TA,8,0,Attchd,2,2009,118964
94,10402,IR1,Corner,CollgCr,1Fam,1Story,7,5,2009,2009,VinylSd,PConc,Unf,1226,1226,2,0,3,Gd,6,0,Attchd,3,2010,198900
,7758,Reg,Corner,IDOTRR,1Fam,1.5Fin,7,4,1931,1950,Stucco,PConc,LwQ,1040,1818,1,1,4,TA,7,2,Detchd,1,2007,169500
75,9375,Reg,Inside,Somerst,1Fam,2Story,8,5,2003,2004,VinylSd,PConc,Unf,1053,1992,2,1,3,Gd,9,1,Attchd,2,2008,250000
60,10800,Reg,Inside,OldTown,1Fam,1Story,4,7,1885,1995,VinylSd,BrkTil,Unf,641,1047,1,0,2,TA,6,0,Detchd,1,2007,100000
50,6000,Reg,Inside,OldTown,1Fam,1Story,5,5,1948,1950,VinylSd,CBlock,ALQ,789,789,1,0,2,TA,5,0,Detchd,1,2008,115000
85,8500,Reg,Corner,IDOTRR,1Fam,1.5Fin,5,7,1919,2005,CemntBd,CBlock,Unf,793,1517,2,0,3,Fa,7,0,NA,0,2007,115000
105,11751,IR1,Inside,NWAmes,1Fam,1Story,6,6,1977,1977,Plywood,CBlock,BLQ,1844,1844,2,0,3,TA,7,1,Attchd,2,2010,190000
75,9525,Reg,Inside,Edwards,1Fam,1.5Fin,6,4,1954,1972,Wd Sdng,CBlock,Rec,994,1855,2,0,4,TA,7,0,Attchd,1,2006,136900
,7750,IR1,Inside,Gilbert,1Fam,SLvl,7,5,2000,2000,VinylSd,PConc,GLQ,384,1430,2,1,3,TA,7,1,BuiltIn,2,2010,180000
77,9965,Reg,Inside,CollgCr,1Fam,2Story,7,5,2007,2007,VinylSd,PConc,GLQ,1264,2696,2,1,4,Ex,10,1,BuiltIn,3,2007,383970
,21000,Reg,Corner,Crawfor,1Fam,1Story,6,5,1953,1953,Wd Sdng,CBlock,ALQ,1809,2259,2,0,3,Gd,7,2,Basment,2,2007,217000
61,7259,IR1,Inside,Crawfor,1Fam,2Story,6,8,1945,2002,Wd Sdng,CBlock,ALQ,1028,2320,2,1,3,Gd,9,1,Detchd,1,2007,259500
34,3230,Reg,Corner,Somerst,TwnhsE,2Story,6,5,1999,1999,MetalSd,PConc,GLQ,729,1458,2,1,2,TA,5,1,Detchd,2,2007,176000
,11616,Reg,Inside,Sawyer,1Fam,1Story,5,5,1962,1962,Wd Sdng,CBlock,LwQ,1092,1092,1,0,3,TA,6,1,Attchd,1,2009,139000
74,8536,Reg,Corner,Edwards,1Fam,1Story,5,5,2006,2007,VinylSd,PConc,Unf,1125,1125,1,1,2,TA,5,0,Attchd,2,2007,155000
90,12376,Reg,Corner,SawyerW,1Fam,2Story,7,5,1990,1990,Plywood,PConc,GLQ,1673,3222,3,0,5,Gd,11,2,Attchd,3,2010,320000
65,8461,Reg,Inside,CollgCr,1Fam,2Story,6,5,2005,2006,VinylSd,PConc,Unf,728,1456,2,1,3,Gd,8,1,Attchd,2,2006,163990
,21453,IR1,CulDSac,ClearCr,1Fam,SLvl,6,5,1969,1969,Plywood,CBlock,ALQ,938,988,1,0,1,TA,4,2,Attchd,2,2006,180000
50,6060,Reg,Inside,IDOTRR,1Fam,1.5Fin,4,5,1939,1950,AsbShng,PConc,Unf,732,1123,1,0,3,TA,4,0,Detchd,1,2007,100000
75,9464,Reg,Corner,NAmes,1Fam,1Story,6,7,1958,1958,MetalSd,CBlock,BLQ,1080,1080,1,0,3,TA,5,0,Attchd,1,2008,136000
55,7892,Reg,Inside,SawyerW,TwnhsE,1Story,6,5,1993,1993,Plywood,PConc,GLQ,1199,1199,2,0,2,Gd,5,0,Attchd,2,2008,153900
48,17043,IR1,CulDSac,NWAmes,1Fam,1Story,6,5,1979,1998,HdBoard,CBlock,Unf,1362,1586,2,0,3,TA,7,1,Attchd,2,2009,181000
60,6780,Reg,Inside,IDOTRR,2fmCon,1.5Fin,6,8,1935,1982,Wd Sdng,CBlock,GLQ,520,754,1,0,2,TA,5,0,NA,0,2006,84500
,4928,IR1,Inside,NPkVill,TwnhsE,1Story,6,5,1976,1976,Plywood,CBlock,ALQ,1078,958,2,0,2,TA,5,1,Attchd,2,2007,128000
55,4388,IR1,Inside,OldTown,1Fam,1.5Unf,5,7,1930,1950,WdShing,BrkTil,LwQ,672,840,1,0,3,TA,5,1,NA,0,2007,87000
69,7590,Reg,Inside,NAmes,1Fam,2Story,6,5,1966,1966,VinylSd,CBlock,BLQ,660,1348,1,1,3,TA,6,1,Attchd,2,2006,155000
69,8973,Reg,Inside,NAmes,1Fam,1Story,5,7,1958,1991,Plywood,CBlock,Rec,1008,1053,1,1,3,Ex,6,0,2Types,2,2006,150000
88,14200,Reg,Corner,NAmes,1Fam,2Story,7,6,1966,1966,MetalSd,CBlock,Rec,924,2157,2,1,4,Gd,8,2,Attchd,2,2006,226000
,12224,IR1,Corner,Gilbert,1Fam,2Story,6,5,2000,2000,VinylSd,PConc,GLQ,992,2054,2,1,3,Gd,7,1,BuiltIn,2,2009,244000
75,7388,Reg,Corner,NAmes,1Fam,1Story,5,6,1959,2002,MetalSd,CBlock,Rec,1063,1327,1,0,3,Gd,7,0,Detchd,2,2007,150750
,6853,IR1,Inside,Timber,1Fam,1Story,8,5,2001,2002,VinylSd,PConc,GLQ,1267,1296,2,0,2,Gd,6,0,Attchd,2,2009,220000
78,10335,IR1,Inside,Sawyer,1Fam,1Story,5,6,1968,1993,Plywood,CBlock,Rec,1461,1721,2,1,3,TA,7,1,Attchd,2,2006,180000
80,10400,Reg,Inside,NWAmes,1Fam,1Story,7,6,1970,1970,Plywood,PConc,Unf,1304,1682,2,0,3,TA,7,1,Attchd,2,2008,174000
,10355,IR1,Corner,NAmes,1Fam,1Story,5,5,1967,1967,MetalSd,CBlock,BLQ,1214,1214,2,0,3,TA,5,1,Attchd,1,2007,143000
82,11070,Reg,Inside,Mitchel,Duplex,1Story,7,5,1988,1989,VinylSd,CBlock,Unf,1907,1959,3,0,5,TA,9,0,2Types,3,2006,171000
73,9066,IR1,Inside,CollgCr,1Fam,2Story,8,5,1999,2000,VinylSd,PConc,GLQ,1004,1852,2,1,3,Gd,7,2,Attchd,3,2008,230000
65,15426,IR1,Inside,CollgCr,1Fam,2Story,6,5,1997,1997,VinylSd,PConc,GLQ,928,1764,2,1,3,Gd,7,0,Attchd,2,2009,231500
70,10500,Reg,FR2,NAmes,1Fam,1Story,4,5,1971,1971,HdBoard,CBlock,ALQ,864,864,1,0,3,TA,5,1,NA,0,2010,115000
78,11645,Reg,Inside,CollgCr,1Fam,1Story,7,5,2005,2005,VinylSd,PConc,GLQ,1734,1734,2,0,3,Gd,7,0,Attchd,2,2006,260000
71,8520,Reg,Corner,NAmes,1Fam,1.5Fin,5,4,1952,1952,BrkFace,CBlock,Rec,910,1385,2,0,4,TA,6,0,Detchd,2,2010,166000
78,10335,IR1,Inside,CollgCr,1Fam,1Story,7,5,1999,1999,VinylSd,PConc,GLQ,1490,1501,2,0,3,Gd,6,0,Attchd,2,2009,204000
70,9100,Reg,Inside,Sawyer,Duplex,1Story,5,5,1963,1963,HdBoard,CBlock,Rec,1728,1728,2,0,6,TA,10,0,Detchd,2,2006,125000
24,2522,Reg,Inside,Edwards,Twnhs,2Story,6,5,2004,2006,VinylSd,PConc,Unf,970,1709,2,0,3,Gd,7,0,Detchd,2,2006,130000
51,6120,Reg,Corner,BrkSide,1Fam,1Story,5,7,1931,1993,Wd Sdng,BrkTil,BLQ,715,875,1,0,2,TA,5,0,Detchd,1,2009,105000
,9505,IR1,CulDSac,Gilbert,1Fam,2Story,7,5,2001,2001,VinylSd,PConc,Unf,884,2035,2,1,3,Gd,8,1,BuiltIn,2,2010,222500
63,7500,Reg,Inside,SawyerW,1Fam,1Story,7,5,2004,2005,VinylSd,PConc,GLQ,1080,1080,1,0,3,Gd,6,0,NA,0,2008,141000
,6240,Reg,Inside,BrkSide,1Fam,1.5Fin,5,4,1936,1950,MetalSd,BrkTil,Unf,896,1344,1,0,3,TA,7,0,Detchd,1,2006,115000
120,10356,Reg,Corner,CollgCr,1Fam,1Story,5,6,1975,1975,HdBoard,CBlock,BLQ,969,969,1,1,3,TA,5,0,Attchd,2,2007,122000
107,13891,Reg,Inside,NridgHt,1Fam,1Story,8,5,2007,2008,VinylSd,PConc,GLQ,1710,1710,2,0,2,Gd,6,1,Attchd,3,2008,372402
,14803,IR1,CulDSac,NWAmes,1Fam,2Story,6,5,1971,1971,HdBoard,CBlock,Rec,825,1993,2,1,4,TA,8,1,Attchd,2,2006,190000
,13500,Reg,Inside,ClearCr,1Fam,1Story,6,7,1960,1975,BrkFace,CBlock,BLQ,1602,1252,1,0,1,TA,4,1,Attchd,2,2008,235000
84,11340,Reg,Corner,OldTown,1Fam,1Story,6,5,1923,1950,Wd Sdng,BrkTil,Unf,1200,1200,1,0,4,TA,7,0,Detchd,1,2006,125000
60,9600,Reg,Corner,Edwards,1Fam,1.5Fin,6,5,1924,1950,Wd Sdng,BrkTil,Unf,572,1096,1,0,2,TA,5,0,NA,0,2008,79000
60,7200,Reg,Inside,NAmes,1Fam,1Story,5,7,1950,1950,Wd Sdng,CBlock,NA,0,1040,1,0,2,TA,5,0,Detchd,2,2006,109500
92,12003,Reg,Corner,Timber,1Fam,2Story,8,5,2009,2010,VinylSd,PConc,Unf,774,1968,2,1,4,Ex,8,1,BuiltIn,3,2010,269500
100,12552,Reg,Corner,Somerst,1Fam,2Story,7,5,2004,2005,VinylSd,PConc,GLQ,991,1947,2,1,3,Gd,8,1,Attchd,2,2010,254900
134,19378,IR1,Corner,Gilbert,1Fam,2Story,7,5,2005,2006,VinylSd,PConc,GLQ,1392,2462,2,1,4,Gd,9,1,Attchd,2,2006,320000
